f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"133,147739","72,48","5,583","5,839","0,3131","132,943386"
"133,205487","69,74","5,628","5,838","0,3161","132,943386"
"133,231709","74,31","5,553","5,872","0,3169","132,943386"
"132,963237","70,75","5,609","5,877","0,3096","132,943386"
"132,957863","70,76","5,609","5,889","0,3094","132,943386"
"132,947327","70,74","5,609","5,9","0,3097","132,943386"
"141,444329","152,71","3,083","5,86","0,351","132,943386"
"140,066826","71,22","3,676","4,926","0,2765","132,943386"
"137,669691","-48,49","5,82","5,368","0,4948","132,943386"
"132,969348","70,59","5,596","5,876","0,309","132,943386"
"132,987095","72,15","5,606","5,865","0,3138","132,943386"
"132,977636","71,79","5,605","5,888","0,3081","132,943386"
"144,867603","141,75","3,414","4,186","0,6873","132,943386"
"139,70905","102,9","5,808","3,53","0,5623","132,943386"
"136,26732","75,82","4,497","4,961","0,5724","132,943386"
"133,137578","72,35","5,618","5,85","0,3137","132,943386"
"132,998922","71,59","5,606","5,879","0,3079","132,943386"
"133,147315","72,33","5,588","5,851","0,316","132,943386"
"156,026426","-174,6","4,676","2,474","0,2312","132,943386"
"137,045505","-179,32","5,817","5,892","0,2072","132,943386"
"137,151779","177,09","5,223","5,065","0,2946","132,943386"
"132,979787","70,88","5,592","5,864","0,3115","132,943386"
"133,010477","71,69","5,597","5,862","0,3124","132,943386"
"132,988271","71,14","5,606","5,889","0,3094","132,943386"
"149,78115","4,14","2,065","5,783","0,4329","132,943386"
"142,452655","-137,62","5,865","5,759","0,7936","132,943386"
"136,353395","50,01","5,744","4,852","0,2074","132,943386"
"133,070572","74,17","5,602","5,861","0,312","132,943386"
"133,32533","75,46","5,529","5,686","0,3256","132,943386"
"133,116062","73,57","5,565","5,785","0,3169","132,943386"
"139,81572","83,65","3,22","5,864","0,7945","132,943386"
"140,551378","46,54","5,076","5,747","0,7883","132,943386"
"136,510143","-45,54","5,158","5,26","0,2703","132,943386"
"132,992518","71,19","5,613","5,876","0,3092","132,943386"
"134,64851","77,41","4,957","5,892","0,2268","132,943386"
"133,450296","68,22","5,524","5,9","0,3924","132,943386"
"144,955638","-171,13","2,508","5,894","0,5282","132,943386"
"141,024446","-87,57","3,242","5,821","0,2593","132,943386"
"135,415337","-114,34","5,723","5,172","0,4259","132,943386"
"133,010377","71,02","5,606","5,857","0,3112","132,943386"
"132,999862","70,79","5,894","5,891","0,3141","132,943386"
"133,10117","67,42","5,9","5,9","0,3111","132,943386"
"145,274874","-104,94","2,955","4,548","0,7934","132,943386"
"142,415296","165,9","3,344","4,746","0,4886","132,943386"
"138,748182","177,64","5,07","5,854","0,3967","132,943386"
"133,136838","72,58","5,791","5,891","0,3129","132,943386"
"133,030186","72,08","5,881","5,885","0,3155","132,943386"
"133,020015","71,61","5,587","5,833","0,3156","132,943386"
"165,980078","-17,45","0,62","5,866","0,7963","132,943386"
"142,30559","2,51","4,69","3,79","0,5925","132,943386"
"140,034356","14,72","4,172","5,777","0,4754","132,943386"
"133,056786","73,59","5,593","5,88","0,3145","132,943386"
"133,033254","71,99","5,88","5,85","0,3124","132,943386"
"133,018891","71,99","5,895","5,883","0,3112","132,943386"
"135,337047","86,11","5,664","5,705","0,5955","132,943386"
"139,741582","-179,51","4,457","4,027","0,4013","132,943386"
"137,176553","34,47","4,648","4,521","0,3349","132,943386"
"133,036032","71,75","5,881","5,881","0,3131","132,943386"
"133,011161","70,98","5,591","5,855","0,3122","132,943386"
"133,056657","71,1","5,892","5,882","0,3176","132,943386"
"178,391966","89,91","0,427","4,815","0,2072","132,943386"
"174,564626","-88,78","5,242","0,431","0,6359","132,943386"
"148,09148","172,04","5,865","5,785","0,7998","132,943386"
"168,628542","166,43","0,156","5,895","0,7975","132,943386"
"137,880246","-58,83","5,86","5,885","0,5871","132,943386"
"137,287865","-60,92","5,874","5,889","0,5855","132,943386"
"135,875397","-120,3","5,894","5,897","0,4909","132,943386"
"147,999307",-180,"5,9","5,9","0,8","132,943386"
"137,844336","178,27","5,897","5,876","0,2063","132,943386"
"139,064285","-17,21","5,9","5,839","0,2176","132,943386"
"133,899925","85,01","5,896","5,898","0,4085","132,943386"
"133,293726","73,67","5,892","5,894","0,3602","132,943386"
"135,420797","120,5","5,898","4,94","0,3497","132,943386"
"133,250233","74,15","5,9","5,9","0,3551","132,943386"
"171,177425","177,53","5,899","0,256","0,2099","132,943386"
"139,947307","-28,56","5,892","3,539","0,4384","132,943386"
"142,460912","178,69","5,899","5,76","0,5462","132,943386"
"139,649578","16,68","5,899","5,865","0,3923","132,943386"
"134,573421","109,8","5,899","5,9","0,3585","132,943386"
"133,611172","79,4","5,9","5,806","0,3643","132,943386"
"133,4648","63,8","5,9","5,9","0,3517","132,943386"
"133,320981","75,63","5,736","5,9","0,3522","132,943386"
"133,336934","75,47","5,9","5,9","0,3552","132,943386"
"133,198532","71,74","5,9","5,887","0,3534","132,943386"
"133,195824","71,38","5,9","5,9","0,3534","132,943386"
"151,309615","-179,6","2,2","5,895","0,2247","132,943386"
"136,644665","-179,9","5,838","5,839","0,2406","132,943386"
"139,217892","-176,56","5,891","5,852","0,3914","132,943386"
"133,266462","72,32","5,854","5,887","0,3428","132,943386"
"133,196764","71,63","5,869","5,897","0,3539","132,943386"
"133,163803","71,42","5,853","5,898","0,3503","132,943386"
"152,579185","-170,5","5,847","2,496","0,2003","132,943386"
"143,881421","33,1","3,704","4,282","0,2551","132,943386"
"139,547504","24,78","5,89","3,924","0,2442","132,943386"
"133,363859","69,32","5,745","5,896","0,3462","132,943386"
"136,801301","130,41","5,895","5,831","0,3913","132,943386"
"135,745338","125,12","5,711","5,868","0,3329","132,943386"
"156,142723","171,71","5,828","1,582","0,6663","132,943386"
"140,513606","106,26","5,605","3,37","0,5384","132,943386"
"136,005478","59,65","5,886","3,926","0,4082","132,943386"
"133,173835","71,7","5,886","5,895","0,3503","132,943386"
"133,359745","69,65","5,873","5,876","0,3486","132,943386"
"136,50386","-111,04","5,9","5,9","0,5727","132,943386"
"133,163387","71,48","5,853","5,9","0,3503","132,943386"
"133,266786","72,53","5,849","5,888","0,3501","132,943386"
"133,166688","71,19","5,853","5,9","0,3502","132,943386"
"165,277041","-178,12","0,315","5,888","0,7747","132,943386"
"140,946775","-58,36","3,001","5,885","0,4688","132,943386"
"137,015598","45,74","4,088","4,959","0,4618","132,943386"
"133,286219","72,63","5,899","5,887","0,3523","132,943386"
"134,311219","84,17","5,778","5,309","0,4275","132,943386"
"133,393602","79,51","5,9","5,9","0,27","132,943386"
"143,996216","34,34","3,113","5,736","0,7994","132,943386"
"136,398154","-93,24","4,31","5,885","0,2999","132,943386"
"138,649016","13,9","4,19","5,899","0,3236","132,943386"
"133,364964","80,01","5,898","5,9","0,3071","132,943386"
"133,217437","73,56","5,849","5,888","0,3452","132,943386"
"133,318826","74,3","5,844","5,896","0,3434","132,943386"
"144,654351","15,18","5,518","3,995","0,7985","132,943386"
"135,931495","74,79","4,844","5,738","0,662","132,943386"
"140,504296","22,62","5,572","4,642","0,5668","132,943386"
"133,481993","84,32","5,898","5,891","0,2946","132,943386"
"133,204148","71,21","5,883","5,889","0,3543","132,943386"
"133,409542","69,57","5,879","5,896","0,3558","132,943386"
"133,175568","71,45","5,852","5,9","0,3526","132,943386"
"133,173686","71,57","5,864","5,9","0,3503","132,943386"
"133,165944","71,47","5,852","5,9","0,3508","132,943386"
"141,237592","-119,04","3,591","5,888","0,7198","132,943386"
"144,342927","-13,82","3,797","5,896","0,6216","132,943386"
"135,083772","100,14","4,82","5,846","0,5201","132,943386"
"133,137002","72,19","5,888","5,899","0,3475","132,943386"
"133,140091","72,2","5,886","5,883","0,348","132,943386"
"133,234347","73,47","5,888","5,886","0,3474","132,943386"
"143,011172","-176,52","3,958","3,793","0,5005","132,943386"
"139,517103","-175,85","4,099","5,875","0,4861","132,943386"
"136,716875","-93,04","4,691","4,641","0,4399","132,943386"
"133,225778","70,37","5,893","5,897","0,3224","132,943386"
"133,044432","71,16","5,892","5,898","0,3196","132,943386"
"133,041803","71,48","5,897","5,9","0,3151","132,943386"
"149,029484","177,77","3,26","3,61","0,7342","132,943386"
"136,300129","-93,63","5,837","4,403","0,2738","132,943386"
"135,495717","53,97","4,899","4,738","0,3305","132,943386"
"133,057683","71,87","5,871","5,865","0,3166","132,943386"
"133,041754","71,86","5,879","5,884","0,3162","132,943386"
"133,051521","71,66","5,891","5,9","0,318","132,943386"
"133,010376","70,84","5,861","5,895","0,3158","132,943386"
"133,039642","71,02","5,856","5,9","0,3155","132,943386"
"133,013066","70,66","5,862","5,896","0,3164","132,943386"
"140,274336","179,99","4,105","4,257","0,4406","132,943386"
"139,973169","121,37","4,009","4,428","0,6005","132,943386"
"137,368079","107,11","4,882","4,389","0,4701","132,943386"
"133,20529","67,29","5,886","5,866","0,3034","132,943386"
"133,041765","71,54","5,872","5,883","0,3135","132,943386"
"133,021598","70,47","5,866","5,885","0,3152","132,943386"
"137,908203","-176,09","4,738","4,663","0,3176","132,943386"
"136,176098","119,14","4,008","5,78","0,363","132,943386"
"137,633337","-35,15","5,158","5,046","0,3394","132,943386"
"134,182746","87,82","5,058","5,526","0,3851","132,943386"
"133,179643","72,29","5,829","5,876","0,3164","132,943386"
"133,040023","71,27","5,876","5,898","0,3144","132,943386"
"138,624455","-107,54","5,146","3,958","0,6786","132,943386"
"141,315763","-172,14","5,868","4,076","0,5254","132,943386"
