f(x),orientation,winE,winW,transmitance
137.202037,61.46,4.87,4.751,0.6623
137.919862,98.95,5.842,3.962,0.5465
133.164442,70.54,5.498,5.885,0.3592
133.165627,70.57,5.474,5.87,0.3571
133.162181,71.51,5.475,5.898,0.3586
141.157635,-143.26,5.864,3.829,0.6619
139.953206,-137.37,5.593,5.742,0.6609
139.208799,-2.81,5.853,5.028,0.3383
133.225906,73.41,5.482,5.85,0.3576
133.172368,71.22,5.471,5.886,0.3597
133.178435,71.08,5.498,5.874,0.3597
145.381474,58.07,3.411,4.618,0.2018
137.621245,-133.19,5.838,3.858,0.3549
136.519002,-105.94,5.18,4.693,0.5137
133.172193,71.56,5.493,5.888,0.3604
133.384185,68.99,5.457,5.837,0.3572
133.180797,70.9,5.476,5.858,0.3584
133.226706,73.4,5.471,5.886,0.3587
133.259208,72.7,5.47,5.889,0.3587
133.273891,72.35,5.47,5.89,0.3588
138.00678,-177.88,4.039,5.149,0.3355
135.059638,-125.08,5.479,5.424,0.353
136.874952,-115.39,4.207,5.81,0.4208
133.221429,73.61,5.503,5.859,0.3606
133.257338,72.68,5.486,5.899,0.3591
133.17721,71.33,5.479,5.889,0.3602
140.724415,-67.34,4.528,4.293,0.2018
138.400363,26.39,4.21,5.812,0.2702
134.89225,78.72,5.825,4.882,0.4492
133.288489,72.41,5.49,5.875,0.3617
133.169594,71.11,5.489,5.873,0.3585
133.152769,71.83,5.47,5.894,0.3589
141.765784,-29.13,5.847,3.282,0.5904
137.385889,-113.91,4.362,5.898,0.2592
136.363702,104.21,5.306,5.144,0.2294
133.187681,74.25,5.569,5.87,0.3577
133.127624,72.01,5.493,5.857,0.3559
133.121686,72.09,5.512,5.854,0.3537
133.135928,70.92,5.482,5.876,0.3502
133.123645,70.78,5.513,5.837,0.3538
133.147267,71.7,5.519,5.863,0.3541
133.119078,71.97,5.508,5.856,0.3532
138.285652,-62.2,4.068,4.185,0.3908
140.78802,-39.44,5.097,4.655,0.6514
135.862492,80.13,4.52,5.019,0.3268
133.361477,70.22,5.501,5.865,0.3543
133.347179,74.71,5.532,5.804,0.3452
133.145423,71.93,5.514,5.829,0.3532
152.972147,130.38,2.243,4.419,0.5017
136.485528,94.24,4.513,4.926,0.5346
136.288095,128.16,4.973,5.776,0.3582
133.226216,73.21,5.512,5.843,0.3539
133.129367,71.32,5.485,5.869,0.3496
133.101534,72.19,5.541,5.854,0.3506
138.448144,-169.74,5.116,4.511,0.2325
134.720995,-73.01,5.764,4.67,0.2606
135.727237,-88.36,4.84,4.868,0.3969
133.299328,75.29,5.561,5.874,0.3519
133.229648,72.83,5.52,5.865,0.3515
133.130006,71.48,5.548,5.845,0.3506
133.215263,73.19,5.532,5.826,0.3497
133.224947,72.67,5.552,5.853,0.3517
133.096476,72.19,5.543,5.858,0.3498
216.843786,171.41,1.69,0.343,0.3155
140.180813,-40.95,3.942,4.896,0.5267
139.911286,5.77,4.12,5.266,0.3985
133.123181,70.66,5.532,5.843,0.3523
133.117289,71.27,5.526,5.848,0.3478
133.127495,71.77,5.537,5.854,0.3499
159.403798,-110.62,0.109,5.834,0.7353
143.102282,161.1,5.583,4.877,0.6579
136.63001,-50.56,5.813,4.164,0.4322
133.128025,71.96,5.518,5.844,0.3547
133.120683,71.42,5.531,5.86,0.3464
133.129409,71.46,5.551,5.86,0.3479
155.301347,-176.78,1.407,5.818,0.4944
151.850977,-36.89,1.752,5.811,0.5941
136.774431,135.47,5.873,4.896,0.3237
133.34716,69.06,5.529,5.876,0.3493
133.132826,71.45,5.535,5.839,0.3511
133.103302,71.99,5.519,5.849,0.3471
133.210925,72.93,5.539,5.841,0.3488
133.225447,72.56,5.541,5.849,0.3493
133.110104,72.1,5.545,5.862,0.3501
148.068263,-49.9,2.802,3.788,0.7878
144.431357,-5.78,3.947,5.476,0.6682
134.801233,84.7,5.061,5.501,0.4674
133.149152,71.77,5.495,5.856,0.3562
133.146329,70.98,5.534,5.84,0.3535
133.137207,71.58,5.473,5.877,0.3503
148.718777,-175.28,3.193,3.539,0.5723
140.121086,-178.22,4.153,5.072,0.5255
133.491873,-72.97,5.711,5.706,0.292
133.122071,71.63,5.498,5.848,0.3481
133.111598,71.26,5.501,5.855,0.3459
133.126716,70.53,5.517,5.839,0.3507
140.444895,-131.51,4.448,4.585,0.7099
140.04176,7.07,4.762,4.091,0.3031
137.379473,-109.34,4.79,4.833,0.2812
133.187981,73.36,5.49,5.868,0.3468
133.102795,71.08,5.496,5.871,0.3443
133.066159,70.76,5.472,5.876,0.342
133.240848,67.41,5.449,5.871,0.342
133.102303,71.24,5.482,5.861,0.3398
133.102238,71.48,5.464,5.879,0.3423
133.274918,70.32,5.47,5.876,0.3421
138.863825,60.06,5.832,5.891,0.7857
138.883634,36.07,5.84,4.99,0.5709
138.362676,-168.64,5.02,4.637,0.4223
133.110089,71.83,5.469,5.871,0.3428
133.215326,72.34,5.483,5.893,0.3416
133.101902,71.17,5.476,5.875,0.342
139.703867,20.59,5.803,4.392,0.2026
144.731651,-66.03,2.71,5.793,0.7958
134.614503,-87.8,5.845,4.804,0.3773
133.136888,71.36,5.512,5.828,0.351
133.086037,71.96,5.449,5.859,0.3409
133.099657,71.69,5.44,5.833,0.3376
160.012221,-169.19,5.895,1.282,0.5033
135.258247,70.42,4.986,5.829,0.5977
135.692136,-129.68,5.894,5.019,0.27
133.102639,72.11,5.476,5.859,0.346
133.100851,71.63,5.442,5.84,0.3405
133.089828,72.1,5.462,5.851,0.3417
133.075143,70.7,5.481,5.89,0.3437
133.074005,70.73,5.477,5.883,0.3429
133.067129,70.75,5.472,5.88,0.3416
143.006335,-80.25,4.25,3.19,0.5505
140.10065,177.25,5.716,5.896,0.4355
134.684762,97.67,5.541,5.118,0.3776
133.126783,71.75,5.52,5.852,0.3494
133.087507,71.49,5.462,5.85,0.338
133.093074,70.94,5.426,5.861,0.3355
140.673163,57.45,4.366,3.327,0.5718
135.439835,-95.63,5.361,5.899,0.4695
136.82501,-176.66,4.923,5.693,0.2781
133.100856,71.35,5.435,5.86,0.3393
133.075222,70.64,5.431,5.86,0.3345
133.105818,70.92,5.473,5.88,0.342
143.286718,95.3,3.573,3.991,0.797
138.415833,88.88,4.953,3.8,0.437
133.638172,83.6,5.899,5.9,0.2448
133.486747,83.66,5.759,5.889,0.2974
133.052012,70.75,5.452,5.876,0.332
133.275811,69.78,5.446,5.897,0.3281
